Day,Hour,Keypresses
2020-10-03,13,4880
2020-10-03,14,6346
2020-10-03,15,2733
2020-10-03,16,4549
2020-10-03,17,332
2020-10-03,18,934
2020-10-03,19,1713
2020-10-03,20,3712
2020-10-03,21,3906
2020-10-03,22,5682
2020-10-03,23,64
2020-10-04,0,280
2020-10-04,9,387
2020-10-04,10,156
2020-10-04,15,798
2020-10-04,16,2266
2020-10-04,17,2620
2020-10-04,18,3566
2020-10-04,19,3804
2020-10-04,20,715
2020-10-04,21,3315
2020-10-04,22,5253
2020-10-04,23,2910
2020-10-05,8,496
2020-10-05,9,4726
2020-10-05,10,2400
2020-10-05,11,2907
2020-10-05,12,259
2020-10-05,13,4108
2020-10-05,14,6418
2020-10-05,15,1547
2020-10-05,16,6826
2020-10-05,17,6420
2020-10-05,18,3635
2020-10-05,19,2151
2020-10-05,20,2781
2020-10-05,22,523
2020-10-05,23,1665
2020-10-06,9,39
2020-10-06,10,2190
2020-10-06,11,7104
2020-10-06,12,4497
2020-10-06,13,47
2020-10-06,14,4354
2020-10-06,15,4701
2020-10-06,16,4582
2020-10-06,17,1050
2020-10-06,18,2520
2020-10-06,19,1999
2020-10-06,20,2185
2020-10-06,21,1298
2020-10-06,22,2658
2020-10-06,23,3901
2020-10-07,0,2849
2020-10-07,1,3013
2020-10-07,10,7
2020-10-07,11,2756
2020-10-07,12,2864
2020-10-07,13,549
2020-10-07,14,4228
2020-10-07,15,2668
2020-10-07,16,4012
2020-10-07,17,1220
2020-10-07,18,629
2020-10-07,19,1981
2020-10-07,20,5710
2020-10-07,21,3741
2020-10-07,22,6353
2020-10-07,23,4638
2020-10-08,0,6072
2020-10-08,1,281
2020-10-08,8,0
2020-10-08,9,210
2020-10-08,10,4834
2020-10-08,11,5624
2020-10-08,12,5904
2020-10-08,13,1763
2020-10-08,14,4450
2020-10-08,15,6389
2020-10-08,16,3387
2020-10-08,17,6045
2020-10-08,18,6402
2020-10-08,19,2883
2020-10-08,20,4047
2020-10-08,21,1869
2020-10-08,22,222
2020-10-08,23,508
2020-10-09,0,0
2020-10-09,10,5867
2020-10-09,11,2876
2020-10-09,12,3782
2020-10-09,13,3726
2020-10-09,14,3817
2020-10-09,15,10023
2020-10-09,16,8539
2020-10-09,17,3671
2020-10-09,21,734
2020-10-09,22,3761
2020-10-09,23,4237
2020-10-10,0,2037
2020-10-10,1,1466
2020-10-10,2,230
2020-10-10,11,25
2020-10-10,12,2430
2020-10-10,13,748
2020-10-10,14,154
2020-10-10,15,550
2020-10-10,16,1152
2020-10-10,17,954
2020-10-10,18,1
2020-10-10,19,2470
2020-10-10,20,2763
2020-10-10,21,2188
2020-10-10,22,2874
2020-10-10,23,943
2020-10-11,9,1178
2020-10-11,10,3164
2020-10-11,11,807
2020-10-11,22,1633
2020-10-11,23,3911
2020-10-12,0,62
2020-10-12,12,31
2020-10-12,13,4
2020-10-12,14,0
2020-10-12,15,4640
2020-10-12,16,1646
2020-10-12,17,1523
2020-10-12,18,1181
2020-10-12,19,107
2020-10-12,20,3120
2020-10-12,21,3269
2020-10-12,22,5153
2020-10-12,23,6268
2020-10-13,0,1680
2020-10-13,12,157
2020-10-13,14,29
2020-10-13,15,1217
2020-10-13,16,4995
2020-10-13,17,5362
2020-10-13,18,6385
2020-10-13,20,5500
2020-10-13,21,1660
2020-10-13,22,4238
2020-10-13,23,2496
2020-10-14,10,6044
2020-10-14,11,1564
2020-10-14,12,8104
2020-10-14,13,7288
2020-10-14,14,5546
2020-10-14,15,6332
2020-10-14,16,3400
2020-10-14,17,6728
2020-10-14,18,3360
2020-10-15,11,0
2020-10-15,12,1585
2020-10-15,13,353
2020-10-15,14,312
2020-10-15,17,2066
2020-10-15,18,7202
2020-10-15,19,918
2020-10-15,20,2897
2020-10-15,21,2195
2020-10-15,22,560
2020-10-15,23,825
2020-10-16,0,0
2020-10-16,10,3743
2020-10-16,11,2027
2020-10-16,12,4485
2020-10-16,13,5212
2020-10-16,14,2560
2020-10-16,15,433
2020-10-17,0,840
2020-10-17,1,541
2020-10-17,2,0
2020-10-17,3,0
2020-10-17,4,0
2020-10-17,5,0
2020-10-17,6,0
2020-10-17,7,0
2020-10-17,8,0
2020-10-17,9,0
2020-10-17,10,0
2020-10-17,11,76
2020-10-17,16,489
2020-10-17,17,3291
2020-10-17,18,6356
2020-10-17,19,1652
2020-10-17,20,4653
2020-10-17,21,6375
2020-10-17,22,1679
2020-10-17,23,1157
2020-10-18,9,270
2020-10-18,10,3753
2020-10-18,11,5452
2020-10-18,13,271
2020-10-18,14,4922
2020-10-18,15,3058
2020-10-18,16,1784
2020-10-18,17,5824
2020-10-18,18,3903
2020-10-18,19,3707
2020-10-18,20,257
2020-10-18,21,59
2020-10-18,22,2416
2020-10-18,23,6199
2020-10-19,0,543
2020-10-19,10,269
2020-10-19,11,3419
2020-10-19,12,1950
2020-10-19,13,835
2020-10-19,14,8291
2020-10-19,15,2816
2020-10-19,16,1978
2020-10-19,17,5247
2020-10-19,18,6278
2020-10-19,19,2620
2020-10-19,20,119
2020-10-19,21,4208
2020-10-19,22,4056
2020-10-19,23,5528
2020-10-20,0,0
2020-10-20,11,64
2020-10-20,12,3022
2020-10-20,13,4293
2020-10-20,14,5484
2020-10-20,15,4535
2020-10-20,16,6459
2020-10-20,17,7147
2020-10-20,18,2103
2020-10-20,19,1326
2020-10-20,21,1623
2020-10-20,22,2496
2020-10-20,23,2736
2020-10-21,0,863
2020-10-21,1,1862
2020-10-21,2,0
2020-10-21,11,5796
2020-10-21,12,3692
2020-10-21,13,1499
2020-10-21,14,1688
2020-10-21,15,6354
2020-10-21,16,5102
2020-10-21,17,2058
2020-10-21,19,0
2020-10-21,20,3559
2020-10-21,21,2964
2020-10-21,22,4134
2020-10-21,23,2137
2020-10-22,0,2567
2020-10-22,1,1022
2020-10-22,11,26
2020-10-22,12,1075
2020-10-22,13,4146
2020-10-22,14,7921
2020-10-22,15,11301
2020-10-22,16,4657
2020-10-22,17,5096
2020-10-22,18,44
2020-10-22,19,224
2020-10-22,20,0
2020-10-22,21,0
2020-10-22,22,181
2020-10-22,23,574
2020-10-23,0,423
2020-10-23,11,4
2020-10-23,12,350
2020-10-23,13,791
2020-10-23,14,7180
2020-10-23,15,7869
2020-10-23,16,7569
2020-10-23,17,7519
2020-10-23,18,6187
2020-10-23,19,3019
2020-10-23,20,5180
2020-10-23,21,1020
2020-10-23,22,97
2020-10-23,23,1700
2020-10-24,0,1041
2020-10-24,1,657
2020-10-24,2,0
2020-10-24,3,0
2020-10-24,4,0
2020-10-24,5,0
2020-10-24,6,0
2020-10-24,7,0
2020-10-24,8,0
2020-10-24,9,0
2020-10-24,13,1152
2020-10-24,14,5053
2020-10-24,15,7060
2020-10-24,16,292
2020-10-25,1,627
2020-10-25,22,36
2020-10-25,23,524
2020-10-26,0,129
2020-10-26,8,2235
2020-10-26,9,5085
2020-10-26,10,3564
2020-10-26,11,4581
2020-10-26,13,8254
2020-10-26,14,497
2020-10-26,15,1802
2020-10-26,16,993
2020-10-26,17,990
2020-10-26,18,2923
2020-10-26,19,2297
2020-10-26,20,4520
2020-10-26,22,1375
2020-10-26,23,613
2020-10-27,8,0
2020-10-27,9,93
2020-10-27,10,1394
2020-10-27,11,6716
2020-10-27,12,2042
2020-10-27,13,4330
2020-10-27,14,4891
2020-10-27,15,4204
2020-10-27,16,5108
2020-10-27,17,3977
2020-10-27,18,1953
2020-10-27,19,7385
2020-10-27,20,2560
2020-10-27,21,1689
2020-10-27,22,4045
2020-10-27,23,2829
2020-10-28,7,0
2020-10-28,8,4150
2020-10-28,9,10340
2020-10-28,10,7287
2020-10-28,11,5317
2020-10-28,12,3481
2020-10-28,13,4331
2020-10-28,14,3581
2020-10-28,15,8339
2020-10-28,20,65
2020-10-28,21,2508
2020-10-28,22,3661
2020-10-28,23,288
2020-10-29,0,186
2020-10-29,10,538
2020-10-29,11,546
2020-10-29,12,8323
2020-10-29,13,7220
2020-10-29,14,8967
2020-10-29,15,5745
2020-10-29,16,4826
2020-10-29,17,2318
2020-10-29,18,6362
2020-10-29,19,337
2020-10-29,22,3280
2020-10-29,23,3145
2020-10-30,0,2682
2020-10-30,1,708
2020-10-30,2,202
2020-10-30,9,9
2020-10-30,10,8311
2020-10-30,11,4791
2020-10-30,12,698
2020-10-30,13,349
2020-10-30,14,5709
2020-10-30,15,6135
2020-10-30,16,3947
2020-10-30,17,3017
2020-10-30,18,2323
2020-10-30,19,3045
2020-10-30,20,1210
2020-11-01,1,658
2020-11-01,14,186
2020-11-01,15,1009
2020-11-01,16,0
2020-11-01,17,3402
2020-11-01,18,312
2020-11-01,23,322
2020-11-02,0,574
2020-11-02,11,7
2020-11-02,12,526
2020-11-02,15,539
2020-11-02,16,3056
2020-11-02,17,3935
2020-11-02,18,7171
2020-11-02,19,1365
2020-11-02,20,457
2020-11-02,21,2657
2020-11-02,22,2308
2020-11-02,23,1506
2020-11-03,9,138
2020-11-03,10,2204
2020-11-03,11,2478
2020-11-03,12,22
2020-11-03,13,860
2020-11-03,14,4258
2020-11-03,15,1035
2020-11-03,16,1187
2020-11-03,17,767
2020-11-03,18,2043
2020-11-03,19,994
2020-11-03,20,404
2020-11-03,21,764
2020-11-03,22,1631
2020-11-03,23,788
2020-11-04,0,337
2020-11-04,8,3295
2020-11-04,9,6969
2020-11-04,10,5598
2020-11-04,11,6596
2020-11-04,12,750
2020-11-04,13,2428
2020-11-04,14,4160
2020-11-04,15,3678
2020-11-04,16,3169
2020-11-04,17,8731
2020-11-04,18,4207
2020-11-04,19,2914
2020-11-04,20,2973
2020-11-04,21,1172
2020-11-04,22,413
2020-11-05,8,2
2020-11-05,9,576
2020-11-05,10,800
2020-11-05,11,8142
2020-11-05,12,2646
2020-11-05,13,3162
2020-11-05,14,6875
2020-11-05,15,8865
2020-11-05,16,8609
2020-11-05,17,5201
2020-11-05,18,2424
2020-11-05,19,3489
2020-11-05,20,342
2020-11-05,21,0
2020-11-05,22,4779
2020-11-05,23,413
2020-11-06,10,2229
2020-11-06,11,304
2020-11-06,12,7981
2020-11-06,13,4018
2020-11-06,14,668
2020-11-06,15,10981
2020-11-06,16,8357
2020-11-06,17,2691
2020-11-06,18,5946
2020-11-06,19,4870
2020-11-06,20,1123
2020-11-06,21,931
2020-11-07,9,24
2020-11-07,10,3317
2020-11-07,11,1095
2020-11-07,12,1427
2020-11-07,13,2794
2020-11-07,14,1648
2020-11-07,15,1786
2020-11-07,17,55
2020-11-07,18,1262
2020-11-07,19,2057
2020-11-07,20,982
2020-11-07,21,93
2020-11-07,22,2539
2020-11-07,23,1624
2020-11-08,0,2703
2020-11-08,1,52
2020-11-08,10,1358
2020-11-08,11,464
2020-11-08,12,176
2020-11-08,13,379
2020-11-08,14,1263
2020-11-08,15,2477
2020-11-08,16,2454
2020-11-08,17,1681
2020-11-08,18,1399
2020-11-08,19,3542
2020-11-08,20,258
2020-11-08,21,171
2020-11-08,22,2042
2020-11-08,23,2080
2020-11-09,0,2588
2020-11-09,1,5804
2020-11-09,2,0
2020-11-09,8,1709
2020-11-09,9,2542
2020-11-09,10,3632
2020-11-09,11,2272
2020-11-09,12,1569
2020-11-09,13,5207
2020-11-09,14,717
2020-11-09,17,2194
2020-11-09,18,3002
2020-11-09,19,4576
2020-11-09,20,3467
2020-11-09,21,0
2020-11-09,22,410
2020-11-09,23,1551
2020-11-10,11,18
2020-11-10,12,618
2020-11-10,13,1
2020-11-10,14,5052
2020-11-10,15,5365
2020-11-10,16,7310
2020-11-10,17,2571
2020-11-10,21,1436
2020-11-10,22,3166
2020-11-10,23,741
2020-11-11,8,3336
2020-11-11,9,5370
2020-11-11,10,7812
2020-11-11,11,3586
2020-11-11,12,287
2020-11-11,14,723
2020-11-11,15,3446
2020-11-11,16,5365
2020-11-11,17,4167
2020-11-11,18,5185
2020-11-11,19,2922
2020-11-11,22,1738
2020-11-11,23,3506
2020-11-12,0,147
2020-11-12,8,0
2020-11-12,9,1680
2020-11-12,10,2451
2020-11-12,11,1470
2020-11-12,12,6254
2020-11-12,13,2022
2020-11-12,14,6102
2020-11-12,15,7196
2020-11-12,16,5902
2020-11-12,17,4431
2020-11-12,18,7208
2020-11-12,19,376
2020-11-12,20,2932
2020-11-12,21,2074
2020-11-12,22,2972
2020-11-12,23,28
2020-11-13,0,0
2020-11-13,9,165
2020-11-13,10,873
2020-11-13,11,6182
2020-11-13,12,5379
2020-11-13,13,4398
2020-11-13,14,1923
2020-11-13,15,3644
2020-11-13,16,3405
2020-11-13,17,2602
2020-11-13,18,168
2020-11-13,23,2517
2020-11-14,0,491
2020-11-14,1,0
2020-11-14,2,0
2020-11-14,3,0
2020-11-14,4,0
2020-11-14,5,0
2020-11-14,6,0
2020-11-14,7,0
2020-11-14,8,0
2020-11-14,9,0
2020-11-14,10,0
2020-11-14,12,305
2020-11-14,13,952
2020-11-14,14,2492
2020-11-14,15,5077
2020-11-14,16,6826
2020-11-14,17,5894
2020-11-14,18,485
2020-11-14,19,2808
2020-11-14,20,2107
2020-11-14,21,537
2020-11-14,22,170
2020-11-14,23,121
2020-11-15,0,315
2020-11-15,12,0
2020-11-15,13,4926
2020-11-15,14,7804
2020-11-15,15,132
2020-11-15,18,2860
2020-11-15,19,1464
2020-11-15,21,198
2020-11-15,22,2883
2020-11-15,23,5968
2020-11-16,0,2361
2020-11-16,8,2441
2020-11-16,9,5366
2020-11-16,10,3403
2020-11-16,11,2125
2020-11-16,12,4540
2020-11-16,13,2408
2020-11-16,14,702
2020-11-16,15,2456
2020-11-16,16,5230
2020-11-16,17,1790
2020-11-16,18,4254
2020-11-16,19,3294
2020-11-16,20,2503
2020-11-16,21,5338
2020-11-16,22,3794
2020-11-16,23,878
2020-11-17,8,16
2020-11-17,9,5151
2020-11-17,10,3334
2020-11-17,11,3696
2020-11-17,12,8117
2020-11-17,13,6475
2020-11-17,14,4918
2020-11-17,15,4787
2020-11-17,16,3091
2020-11-17,17,1990
2020-11-17,18,2231
2020-11-17,19,4538
2020-11-17,20,2114
2020-11-17,21,2991
2020-11-17,22,3265
2020-11-17,23,3433
2020-11-18,0,25
2020-11-18,8,4542
2020-11-18,9,7055
2020-11-18,10,8875
2020-11-18,11,8009
2020-11-18,12,6411
2020-11-18,13,4237
2020-11-18,14,5088
2020-11-18,15,4965
2020-11-18,16,973
2020-11-18,20,3954
2020-11-18,23,2320
2020-11-19,0,2493
2020-11-19,1,7
2020-11-19,10,4597
2020-11-19,11,8461
2020-11-19,12,2487
2020-11-19,13,3119
2020-11-19,14,6013
2020-11-19,15,7037
2020-11-19,16,5506
2020-11-19,17,5837
2020-11-19,18,5926
2020-11-19,19,8745
2020-11-19,20,3340
2020-11-19,21,2729
2020-11-19,22,4950
2020-11-19,23,4197
2020-11-20,0,846
2020-11-20,10,720
2020-11-20,11,3633
2020-11-20,12,2875
2020-11-20,13,1753
2020-11-20,14,7987
2020-11-20,15,2041
2020-11-20,16,3543
2020-11-20,17,2229
2020-11-20,22,599
2020-11-20,23,1809
2020-11-21,0,3207
2020-11-21,1,0
2020-11-21,13,723
2020-11-21,14,1378
2020-11-21,15,1501
2020-11-21,16,2880
2020-11-21,17,4655
2020-11-21,18,4265
2020-11-21,19,1
2020-11-22,0,546
2020-11-22,1,2173
2020-11-22,13,1473
2020-11-22,14,1497
2020-11-22,15,3488
2020-11-22,16,4060
2020-11-22,17,1268
2020-11-22,18,6592
2020-11-22,19,1715
2020-11-22,20,2170
2020-11-22,21,2008
2020-11-22,22,5297
2020-11-22,23,5353
2020-11-23,0,1911
2020-11-23,8,5733
2020-11-23,9,7659
2020-11-23,10,6814
2020-11-23,11,4894
2020-11-23,12,858
2020-11-23,13,5046
2020-11-23,14,4951
2020-11-23,15,4830
2020-11-23,16,4654
2020-11-23,17,6164
2020-11-23,18,4958
2020-11-23,19,6489
2020-11-23,20,6349
2020-11-23,21,3722
2020-11-23,22,1231
2020-11-23,23,50
2020-11-24,0,8
2020-11-24,8,1187
2020-11-24,9,0
2020-11-24,16,849
2020-11-24,17,4312
2020-11-24,18,577
2020-11-24,21,663
2020-11-25,15,3536
2020-11-25,16,2281
2020-11-25,17,65
2020-11-25,20,0
2020-11-25,21,180
2020-11-26,11,169
2020-11-26,12,66
2020-11-27,11,815
2020-11-27,12,2458
2020-11-27,13,3942
2020-11-27,14,4769
2020-11-27,15,5709
2020-11-27,16,3702
2020-11-27,17,4760
2020-11-27,18,929
2020-11-27,19,1649
2020-11-27,20,313
2020-11-27,21,195
2020-11-27,22,509
2020-11-27,23,0
2020-11-28,0,121
2020-11-29,12,280
2020-11-29,13,3391
2020-11-29,14,788
2020-11-29,16,2197
2020-11-29,17,7668
2020-11-29,18,5163
2020-11-29,19,3352
2020-11-29,20,6197
2020-11-29,21,1385
2020-11-29,22,3415
2020-11-29,23,99
2020-11-30,0,65
2020-11-30,8,2951
2020-11-30,9,9314
2020-11-30,10,7036
2020-11-30,11,7918
2020-11-30,12,2817
2020-11-30,13,2042
2020-11-30,14,1693
2020-11-30,15,1188
2020-11-30,16,3844
2020-11-30,17,1559
2020-11-30,18,6869
2020-11-30,19,7861
2020-11-30,20,4719
2020-11-30,21,3901
2020-11-30,22,2534
2020-11-30,23,1222
2020-12-01,0,0
2020-12-01,1,0
2020-12-01,2,0
2020-12-01,3,0
2020-12-01,4,0
2020-12-01,5,0
2020-12-01,6,0
2020-12-01,7,0
2020-12-01,8,0
2020-12-01,9,0
2020-12-01,10,0
2020-12-01,11,0
2020-12-01,12,144
2020-12-01,13,1619
2020-12-01,14,4886
2020-12-01,15,2362
2020-12-01,16,5093
2020-12-01,17,4908
2020-12-01,18,40
2020-12-01,20,2074
2020-12-01,21,61
2020-12-01,23,0
2020-12-02,0,1046
2020-12-02,1,2954
2020-12-02,8,2652
2020-12-02,9,5399
2020-12-02,10,7631
2020-12-02,11,7486
2020-12-02,12,648
2020-12-02,13,3762
2020-12-02,14,4591
2020-12-02,15,302
2020-12-02,19,217
2020-12-02,20,2441
2020-12-02,21,1174
2020-12-02,22,2403
2020-12-02,23,928
2020-12-03,0,213
2020-12-03,1,1910
2020-12-03,2,2465
2020-12-03,12,4272
2020-12-03,13,5138
2020-12-03,14,6749
2020-12-03,15,5962
2020-12-03,16,6519
2020-12-03,17,6545
2020-12-03,18,3154
2020-12-03,19,2720
2020-12-03,20,2778
2020-12-03,21,6128
2020-12-03,22,5221
2020-12-03,23,1663
2020-12-04,0,194
2020-12-04,10,20
2020-12-04,11,105
2020-12-04,12,1235
2020-12-04,13,1388
2020-12-04,14,1949
2020-12-04,15,3106
2020-12-04,16,2719
2020-12-04,17,3912
2020-12-04,18,3213
2020-12-04,19,1
2020-12-04,20,2055
2020-12-04,21,1961
2020-12-04,22,830
2020-12-04,23,4457
2020-12-05,0,2351
2020-12-05,12,2
2020-12-05,13,1762
2020-12-05,14,2861
2020-12-05,15,2891
2020-12-05,16,5125
2020-12-05,17,1444
2020-12-05,18,1713
2020-12-05,19,2959
2020-12-05,20,4217
2020-12-05,21,5656
2020-12-05,22,2929
2020-12-05,23,1930
2020-12-06,0,1133
2020-12-06,12,0
2020-12-06,13,107
2020-12-06,14,40
2020-12-06,18,758
2020-12-06,19,0
2020-12-06,20,0
2020-12-06,21,0
2020-12-06,22,0
2020-12-06,23,737
2020-12-07,0,208
2020-12-07,8,3483
2020-12-07,9,4907
2020-12-07,10,4967
2020-12-07,11,4278
2020-12-07,12,2871
2020-12-07,13,2480
2020-12-07,14,1536
2020-12-07,15,2101
2020-12-07,16,3438
2020-12-07,17,3360
2020-12-07,18,3484
2020-12-07,19,4872
2020-12-07,20,1645
2020-12-07,21,1271
2020-12-07,22,402
2020-12-08,11,718
2020-12-08,12,0
2020-12-08,13,5574
2020-12-08,14,618
2020-12-08,15,1636
2020-12-08,16,888
2020-12-08,19,1
2020-12-08,20,0
2020-12-08,21,0
2020-12-08,22,2169
2020-12-08,23,4724
2020-12-09,0,2094
2020-12-09,8,6048
2020-12-09,9,8652
2020-12-09,10,8640
2020-12-09,11,5738
2020-12-09,12,887
2020-12-09,13,780
2020-12-09,16,327
2020-12-09,17,1682
2020-12-09,18,1608
2020-12-09,20,1273
2020-12-09,21,6367
2020-12-09,22,4427
2020-12-09,23,6914
2020-12-10,0,2987
2020-12-10,1,1871
2020-12-10,11,11
2020-12-10,12,3958
2020-12-10,13,1917
2020-12-10,14,6082
2020-12-10,15,5894
2020-12-10,16,6120
2020-12-10,17,2480
2020-12-10,21,4011
2020-12-10,22,1185
2020-12-10,23,5592
2020-12-11,0,4035
2020-12-11,1,1402
2020-12-11,12,103
2020-12-11,13,4043
2020-12-11,14,14618
2020-12-11,15,5920
2020-12-11,16,3745
2020-12-11,17,1284
2020-12-11,18,1119
2020-12-11,19,268
2020-12-11,20,3209
2020-12-11,21,4700
2020-12-11,22,5434
2020-12-11,23,5326
2020-12-12,0,3417
2020-12-12,1,48
2020-12-12,9,1
2020-12-12,10,3795
2020-12-12,11,3234
2020-12-12,12,3131
2020-12-12,13,3247
2020-12-12,14,4840
2020-12-12,15,2375
2020-12-12,16,1486
2020-12-12,17,5160
2020-12-12,18,4583
2020-12-12,19,1077
2020-12-12,20,623
2020-12-12,21,1305
2020-12-12,22,328
2020-12-12,23,183
2020-12-13,8,0
2020-12-13,9,143
2020-12-13,10,1061
2020-12-13,11,3
2020-12-13,16,189
2020-12-13,17,2958
2020-12-13,18,1612
2020-12-13,19,5176
2020-12-13,20,38
2020-12-13,21,697
2020-12-13,22,5902
2020-12-13,23,4857
2020-12-14,0,1041
2020-12-14,11,233
2020-12-14,12,851
2020-12-14,13,1941
2020-12-14,14,1612
2020-12-14,15,4973
2020-12-14,16,3545
2020-12-14,17,3583
2020-12-14,18,4129
2020-12-14,19,5191
2020-12-14,21,3344
2020-12-14,22,3068
2020-12-14,23,3249
2020-12-15,0,5936
2020-12-15,1,1241
2020-12-15,11,55
2020-12-15,12,2680
2020-12-15,13,4431
2020-12-15,14,4753
2020-12-15,15,5743
2020-12-15,16,6433
2020-12-15,17,5885
2020-12-15,18,2323
2020-12-15,19,1639
2020-12-15,20,5660
2020-12-15,21,4906
2020-12-15,22,6055
2020-12-15,23,4229
2020-12-16,0,3257
2020-12-16,1,169
2020-12-16,11,14
2020-12-16,12,1831
2020-12-16,13,7123
2020-12-16,14,5001
2020-12-16,15,4234
2020-12-16,16,4897
2020-12-16,17,4535
2020-12-16,18,3341
2020-12-16,19,0
2020-12-16,20,2847
2020-12-16,21,1524
2020-12-16,22,2293
2020-12-16,23,5392
2020-12-17,0,2261
2020-12-17,14,26
2020-12-17,15,1003
2020-12-17,16,7204
2020-12-17,17,4703
2020-12-17,18,5592
2020-12-17,19,7351
2020-12-17,20,4333
2020-12-17,21,744
2020-12-17,22,4062
2020-12-17,23,2730
2020-12-18,0,4519
2020-12-18,1,1505
2020-12-18,11,157
2020-12-18,12,1610
2020-12-18,13,4128
2020-12-18,14,4499
2020-12-18,15,4523
2020-12-18,16,8258
2020-12-18,17,7381
2020-12-18,18,2824
2020-12-18,19,0
2020-12-18,20,20
2020-12-18,21,0
2020-12-18,22,1968
2020-12-18,23,3985
2020-12-19,11,0
2020-12-19,12,0
2020-12-19,13,0
2020-12-19,14,0
2020-12-19,15,0
2020-12-19,16,0
2020-12-19,17,0
2020-12-19,18,767
2020-12-19,19,629
2020-12-19,20,393
2020-12-19,21,6344
2020-12-19,22,2813
2020-12-19,23,4018
2020-12-20,0,4392
2020-12-20,1,695
2020-12-20,10,0
2020-12-20,11,4584
2020-12-20,12,530
2020-12-20,13,0
2020-12-20,14,4173
2020-12-20,15,2079
2020-12-20,16,1135
2020-12-20,17,303
2020-12-20,18,1670
2020-12-20,19,5869
2020-12-20,20,1820
2020-12-20,21,0
2020-12-20,22,1967
2020-12-20,23,3329
2020-12-21,0,2350
2020-12-21,1,119
2020-12-21,10,123
2020-12-21,11,950
2020-12-21,12,0
2020-12-21,13,3958
2020-12-21,14,6269
2020-12-21,15,2427
2020-12-21,16,647
